country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Haiti,1411.13,1318.4,1395.24,1496.38,1352.17,1290.33,1835.44,1760.63,1705.76,2142.62
Heavily indebted poor countries (HIPC),918,900.5,939.75,977.35,984.57,968.07,1050,1111.39,1173.17,1272.36
High income,36571.19,37055.75,38782.92,41079.79,41351.5,40219.14,45211.94,46655.16,48708.46,50443.93
Honduras,2271.2,2307.34,2413.01,2464.64,2502.33,2307.61,2735.15,3003.29,3227.46,3426.43
"Hong Kong SAR, China",42432.16,43734.2,46160.43,48537.57,48359,46109.23,49770.56,48825.84,50565.46,54107.03
Hungary,12782.94,13215.86,14736.17,16605.06,17012.86,16386.93,19030.63,18483.64,22312.18,23310.75
IBRD only,5572.51,5560.96,6080.71,6429.49,6517.95,6236.68,7366.11,7745.39,7964.74,8253.92
IDA & IBRD total,4494.44,4467.7,4853.17,5111.82,5169.58,4932.65,5764.26,6043.78,6162.31,6351.48
IDA blend,1947.84,1790.52,1804.57,1869.42,1878.13,1735.43,1857.2,1962.52,1729.92,1565.84
IDA only,1023.94,1058.23,1116.07,1160.5,1194.07,1179.87,1254.1,1330.4,1347.75,1444.43
IDA total,1350.63,1316.75,1358.71,1409.9,1434.2,1374.49,1465.05,1551.17,1480.94,1486.65
Iceland,52951.68,61987.93,72010.15,74452.19,68452.24,59023.57,69178.4,75121.02,79960.1,82703.86
India,1584,1707.51,1950.1,1966.25,2041.43,1907.04,2239.61,2347.45,2530.12,2696.66
Indonesia,3288.22,3521.47,3798.88,3860.95,4106.95,3853.7,4287.17,4730.83,4876.31,4925.43
"Iran, Islamic Rep.",4952.73,5477.04,5753.12,4631.79,3831.28,2988.78,4334.79,4405.09,4465.64,4771.4
Iraq,4440.14,4334.42,4759.28,5646.69,5671.86,4295.19,4868.49,6520.73,5965.32,6073.61
Ireland,64311.82,64192.94,72198.11,80738.96,81810.19,86622.51,103961.98,105234.51,103887.8,107316.34
Isle of Man,84753.52,82025.95,83481.3,89393.82,87127.55,79513.53,94299.97,88328.55,,
Israel,36213.1,37671.54,41138.47,42362.67,44250.63,44575.57,52270.9,54949.62,52003.72,54176.68
Italy,30639.88,31391.57,32844.12,34904.11,33812.79,32091.49,36852.54,35653.9,39065.42,40226.05
Jamaica,5062.9,5009.79,5259.31,5578.1,5607.24,4879.44,5165.34,6022.15,6839.73,7019.75
Japan,34960.64,39375.47,38834.05,39751.13,40415.96,40028.73,40094.56,34065.64,33836.18,32475.89
Jordan,4042.76,3986.72,4065.62,4145.44,4170.11,4022.04,4183.5,4332.25,4466.08,4618.1
Kazakhstan,10196.12,7475.57,8943.08,9472.49,9457.13,8781.51,9983.6,11255.34,12879.43,14005.35
Kenya,1489.12,1554.13,1667.48,1836.45,1960.41,1927.66,2061.36,2109.56,1952.3,2206.13
Kiribati,1639.85,1742.67,1853.05,1912.74,1751,1751.78,2222.05,2069.77,2177.7,2288.63
"Korea, Dem. People's Rep.",,,,,,,,,,
"Korea, Rep.",28737.44,29280.44,31600.74,33447.16,31902.42,31721.3,35125.52,32394.68,33121.37,
Kosovo,3520.63,3759.45,4009.32,4384.19,4416,4310.89,5270.43,5290.95,6221.2,7299.43
Kuwait,29882.21,27323.69,29047.65,32067.96,31707.87,25236.08,34018.63,39981.77,34075.85,32213.86
Kyrgyz Republic,1105.65,1103.27,1221.39,1283.52,1422,1229.52,1350,1739.72,2138.22,2419.27
